id,name,screenshot_urls
3498,Grand Theft Auto V,"[""https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg"", ""https://media.rawg.io/media/screenshots/a7c/a7c43871a54bed6573a6a429451564ef.jpg"", ""https://media.rawg.io/media/screenshots/cf4/cf4367daf6a1e33684bf19adb02d16d6.jpg"", ""https://media.rawg.io/media/screenshots/f95/f9518b1d99210c0cae21fc09e95b4e31.jpg"", ""https://media.rawg.io/media/screenshots/a5c/a5c95ea539c87d5f538763e16e18fb99.jpg""]"
3328,The Witcher 3: Wild Hunt,"[""https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg"", ""https://media.rawg.io/media/screenshots/1ac/1ac19f31974314855ad7be266adeb500.jpg"", ""https://media.rawg.io/media/screenshots/6a0/6a08afca95261a2fe221ea9e01d28762.jpg"", ""https://media.rawg.io/media/screenshots/cdd/cdd31b6b4a687425a87b5ce231ac89d7.jpg"", ""https://media.rawg.io/media/screenshots/862/862397b153221a625922d3bb66337834.jpg""]"
4200,Portal 2,"[""https://media.rawg.io/media/games/2ba/2bac0e87cf45e5b508f227d281c9252a.jpg"", ""https://media.rawg.io/media/screenshots/221/221a03c11e5ff9f765d62f60d4b4cbf5.jpg"", ""https://media.rawg.io/media/screenshots/173/1737ff43c14f40294011a209b1012875.jpg"", ""https://media.rawg.io/media/screenshots/b11/b11a2ae0664f0e8a1ef2346f99df26e1.jpg"", ""https://media.rawg.io/media/screenshots/9b1/9b107a790909b31918ebe2f40547cc85.jpg""]"
4291,Counter-Strike: Global Offensive,"[""https://media.rawg.io/media/games/736/73619bd336c894d6941d926bfd563946.jpg"", ""https://media.rawg.io/media/screenshots/ff1/ff16661bb15f7969b44f6c4118870e44.jpg"", ""https://media.rawg.io/media/screenshots/41b/41bb769d247412eac3336dec934aed72.jpg"", ""https://media.rawg.io/media/screenshots/754/754545acdbf71f56e8902a07c7d20696.jpg"", ""https://media.rawg.io/media/screenshots/fd8/fd873cab4c66db0b8e85d8a66e940074.jpg""]"
5286,Tomb Raider (2013),"[""https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg"", ""https://media.rawg.io/media/screenshots/4f9/4f9d5efdecfb63cb99f1baa4c0ceb3bf.jpg"", ""https://media.rawg.io/media/screenshots/80f/80f373082b2a74da3f9c3fe2b877dcd0.jpg"", ""https://media.rawg.io/media/screenshots/a87/a8733e877f8fbe45e4a727c22a06aa2e.jpg"", ""https://media.rawg.io/media/screenshots/3f9/3f91678c6805a76419fa4ea3a045a909.jpg""]"
13536,Portal,"[""https://media.rawg.io/media/games/7fa/7fa0b586293c5861ee32490e953a4996.jpg"", ""https://media.rawg.io/media/screenshots/99e/99e94bd55eb75fa6e75c3dcbb1a570b2.jpg"", ""https://media.rawg.io/media/screenshots/2f0/2f0297a46934d9fa914c626902b1ce20.jpg"", ""https://media.rawg.io/media/screenshots/3b3/3b3713fbca6194dfc4d6e8a8d006d354.jpg"", ""https://media.rawg.io/media/screenshots/c6f/c6f9afc3e4dd51068b22f04acbc6ca99.jpg""]"
12020,Left 4 Dead 2,"[""https://media.rawg.io/media/games/d58/d588947d4286e7b5e0e12e1bea7d9844.jpg"", ""https://media.rawg.io/media/screenshots/4c0/4c043fd1a5ff78900483f2e82580fea0.jpg"", ""https://media.rawg.io/media/screenshots/c90/c9071628c238fbc20b366e2413dd8b4a.jpg"", ""https://media.rawg.io/media/screenshots/e29/e293b0f98092b8c0dbe24d66846088bb.jpg"", ""https://media.rawg.io/media/screenshots/168/16867bc76b385eb0fb749e41f7ada93d.jpg""]"
5679,The Elder Scrolls V: Skyrim,"[""https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg"", ""https://media.rawg.io/media/screenshots/3bd/3bd2710bd1ffb6664fdea7b83afd067e.jpg"", ""https://media.rawg.io/media/screenshots/d4e/d4e9b13f54748584ccbd6f998094dade.jpg"", ""https://media.rawg.io/media/screenshots/599/59946a630e9c7871003763d63184404a.jpg"", ""https://media.rawg.io/media/screenshots/c5d/c5dad426038d7d12f933eedbeab48ff3.jpg""]"
28,Red Dead Redemption 2,"[""https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg"", ""https://media.rawg.io/media/screenshots/7b8/7b8895a23e8ca0dbd9e1ba24696579d9.jpg"", ""https://media.rawg.io/media/screenshots/b8c/b8cee381079d58b981594ede46a3d6ca.jpg"", ""https://media.rawg.io/media/screenshots/fd6/fd6e41d4c30c098158568aef32dfed35.jpg"", ""https://media.rawg.io/media/screenshots/2ed/2ed3b2791b3bbed6b98bf362694aeb73.jpg""]"
4062,BioShock Infinite,"[""https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg"", ""https://media.rawg.io/media/screenshots/bf0/bf07e2c6d2c888d372917d9ef453c8a4.jpg"", ""https://media.rawg.io/media/screenshots/9d3/9d38833952812ad7888a6dc21699934f.jpg"", ""https://media.rawg.io/media/screenshots/595/59572d257b6797986e4eabcd1ee023fd.jpg"", ""https://media.rawg.io/media/screenshots/f71/f71c23eb76f050d6180490e82d58d799.jpg""]"
