id,nome,tags,generos,nota_media,metacritic,ano_lancamento
6128,#IDARB,"['Story', 'Music', 'battle', 'future', 'arena', 'ball', 'strange', 'box', 'pixel-art', 'twitch', 'mini-games']",[],3.18,,2015
18924,$1 Ride,"['Singleplayer', 'steam-trading-cards']","['Action', 'Casual', 'Indie']",1.4,,2016
46502,.hack//G.U. Last Recode,"['Singleplayer', 'Steam Achievements', 'Full controller support', 'Great Soundtrack', 'RPG', 'Story Rich', 'Anime', 'JRPG']",['RPG'],3.49,74,2017
15761,//N.P.P.D. RUSH//- The milk of Ultraviolet,"['Singleplayer', 'steam-trading-cards', '2D', 'Action RPG', 'Retro', 'Cyberpunk', 'Surreal', ""Shoot 'Em Up"", 'Bullet Hell', 'Illuminati', 'Experimental', 'Psychedelic']","['Action', 'Indie']",1.6,,2014
5505,007 Legends,['First-Person'],"['Action', 'Shooter']",2.7,37,2012
14174,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),"['Singleplayer', 'Steam Achievements', 'steam-trading-cards', 'Early Access', 'Music', 'Procedural Generation', 'Rhythm', 'Music-Based Procedural Generation']","['Action', 'Indie']",2.2,,2010
775904,10 Minutes Till Dawn,"['Singleplayer', 'RPG', '2D', 'Horror', 'Pixel Graphics', 'Action RPG', 'Anime', 'Dark Fantasy', 'Roguelike', 'Magic', 'Top-Down', 'Roguelite', ""Shoot 'Em Up"", 'Minimalist', 'Top-Down Shooter', 'Lovecraftian', 'Twin Stick Shooter', 'Action Roguelike', 'looter shooter', 'Лутер-шутер', 'Lovecraftian Horror']","['Action', 'Indie']",3.38,,2022
19376,10 Second Ninja,"['Singleplayer', 'Steam Achievements', 'Steam Cloud', 'steam-trading-cards', '2D', 'Partial Controller Support', 'Difficult', 'Steam Leaderboards', 'Fast-Paced', 'Ninja', 'Time Attack']","['Action', 'Indie']",2.62,72,2014
1726,10 Second Ninja X,"['Singleplayer', 'Steam Achievements', 'Full controller support', 'steam-trading-cards', 'Steam Leaderboards', 'Puzzle-Platformer']","['Action', 'Indie']",2.51,,2016
10270,100% Orange Juice,"['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Steam Cloud', 'steam-trading-cards', 'Great Soundtrack', 'Funny', 'Difficult', 'Steam Leaderboards', 'Female Protagonist', 'stats', 'Anime', 'Turn-Based', 'Cute', 'Memes', 'Valve Anti-Cheat enabled', 'Card Game', 'Board Game']","['Strategy', 'Indie']",2.98,,2013
1178,1001 Spikes,"['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Steam Cloud', 'Great Soundtrack', 'Co-op', 'cooperative', '2D', 'Partial Controller Support', 'Difficult', 'Split Screen', 'Pixel Graphics', 'Local Multiplayer', 'Retro', 'Side Scroller', '4 Player Local']","['Action', 'Adventure', 'Indie']",3.73,80,2014
59925,11-11 Memories Retold,"['Singleplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'World War I']","['Adventure', 'Casual']",3.24,76,2018
292944,112 Operator,"['Singleplayer', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', '2D', 'Tactical', 'Captions available', 'Choices Matter', '3D', 'Realistic', 'Crime', 'Management', 'Procedural Generation', 'Resource Management', 'Education', 'Real-Time', 'Dynamic Narration', 'Modern', 'Time Management']","['Strategy', 'Simulation', 'Indie']",3.65,,2020
14264,12 Labours of Hercules,"['Singleplayer', 'Steam Achievements', 'Steam Cloud', 'steam-trading-cards', '2D', 'Steam Leaderboards', 'Management', 'Resource Management', 'Mythology']","['Adventure', 'Strategy', 'Casual', 'Family']",3.04,,2013
14265,12 Labours of Hercules II: The Cretan Bull,"['Singleplayer', 'Steam Achievements', 'Steam Cloud', 'steam-trading-cards', '2D', 'Point & Click', 'Resource Management', 'Mythology']","['Strategy', 'Casual', 'Family']",2.8,,2014
14267,12 Labours of Hercules III: Girl Power,"['Singleplayer', 'Steam Achievements', 'Steam Cloud', 'steam-trading-cards', '2D', 'Female Protagonist', 'Resource Management']","['Strategy', 'Casual', 'Family']",2.72,,2015
