id,name,slug,games_count,image_background
31,Singleplayer,singleplayer,245225,https://media.rawg.io/media/games/bc0/bc06a29ceac58652b684deefe7d56099.jpg
45,2D,2d,205153,https://media.rawg.io/media/games/ffe/ffed87105b14f5beff72ff44a7793fd5.jpg
122,Pixel Graphics,pixel-graphics,98087,https://media.rawg.io/media/screenshots/6fe/6fe228662a253cd929cc78a103541ee0.jpg
571,3D,3d,91709,https://media.rawg.io/media/games/d09/d096ad37b7f522e11c02848252213a9a.jpg
607,Unity,unity,70822,https://media.rawg.io/media/screenshots/64e/64e4c4a09537f31ce87cd4b75e713042.jpg
111,Short,short,58104,https://media.rawg.io/media/games/b7b/b7b8381707152afc7d91f5d95de70e39.jpg
40847,Steam Achievements,steam-achievements,48557,https://media.rawg.io/media/games/9fa/9fa63622543e5d4f6d99aa9d73b043de.jpg
16,Horror,horror,48112,https://media.rawg.io/media/games/c80/c80bcf321da44d69b18a06c04d942662.jpg
74,Retro,retro,43957,https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg
25,Space,space,43948,https://media.rawg.io/media/games/daa/daaee07fcb40744d90cf8142f94a241f.jpg
7,Multiplayer,multiplayer,41625,https://media.rawg.io/media/games/6c5/6c55e22185876626881b76c11922b073.jpg
88,Cute,cute,38475,https://media.rawg.io/media/games/8cd/8cd179c85bd3de8f79bef245b15075fb.jpg
13,Atmospheric,atmospheric,38314,https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg
8,First-Person,first-person,36180,https://media.rawg.io/media/games/198/1988a337305e008b41d7f536ce9b73f6.jpg
64,Fantasy,fantasy,31917,https://media.rawg.io/media/games/b6b/b6b20bfc4b34e312dbc8aac53c95a348.jpg
2590,fun,fun,29221,https://media.rawg.io/media/games/1d3/1d3cd86dfbb7e02ffe502a69838b5860.jpeg
4,Funny,funny,28017,https://media.rawg.io/media/games/25c/25c4776ab5723d5d735d8bf617ca12d9.jpg
61,Top-Down,top-down,27995,https://media.rawg.io/media/games/578/57885b9590c9a9f80ceea34d147a34c4.jpg
6,Exploration,exploration,27931,https://media.rawg.io/media/games/26d/26d4437715bee60138dab4a7c8c59c92.jpg
165,Colorful,colorful,27562,https://media.rawg.io/media/games/bbf/bbf8d74ab64440ad76294cff2f4d9cfa.jpg
136,Music,music,26218,https://media.rawg.io/media/games/85c/85c8ae70e7cdf0105f06ef6bdce63b8b.jpg
118,Story Rich,story-rich,26008,https://media.rawg.io/media/games/8d6/8d69eb6c32ed6acfd75f82d532144993.jpg
24,RPG,rpg,25464,https://media.rawg.io/media/games/15c/15c95a4915f88a3e89c821526afe05fc.jpg
40849,Steam Cloud,steam-cloud,23944,https://media.rawg.io/media/games/48c/48cb04ca483be865e3a83119c94e6097.jpg
91686,Family Sharing,family-sharing,23759,https://media.rawg.io/media/screenshots/82a/82ade332e1cfabb9782ec64477a05da3.jpg
40836,Full controller support,full-controller-support,22824,https://media.rawg.io/media/games/b45/b45575f34285f2c4479c9a5f719d972e.jpg
32,Sci-fi,sci-fi,21466,https://media.rawg.io/media/games/be0/be01c3d7d8795a45615da139322ca080.jpg
114,Physics,physics,21096,https://media.rawg.io/media/games/74d/74dafeb9a442b87b9dd4a1d4a2faa37b.jpg
138,Relaxing,relaxing,20474,https://media.rawg.io/media/games/51c/51c430f1795c79b78f863a9f22dc422d.jpg
69,Action-Adventure,action-adventure,20093,https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg
14,Early Access,early-access,18679,https://media.rawg.io/media/games/1f4/1f47a270b8f241e4676b14d39ec620f7.jpg
891,jam,jam,18546,https://media.rawg.io/media/screenshots/c09/c091d0cbad982c1d7e86681939b6b58b.jpg
41,Dark,dark,18059,https://media.rawg.io/media/games/ffe/ffed87105b14f5beff72ff44a7793fd5.jpg
112,Minimalist,minimalist,16953,https://media.rawg.io/media/screenshots/b00/b00b7cc04dd09531b631ea4575696276.jpg
134,Anime,anime,16221,https://media.rawg.io/media/games/a91/a917f41bb87e4b9e7a762ac87d97a9dc.jpg
117,Mystery,mystery,15803,https://media.rawg.io/media/games/214/2140885d34e3a3398b45036e5d870971.jpg
1465,combat,combat,15516,https://media.rawg.io/media/games/64e/64e2a77f37ddc48d102127234af99886.jpg
744,friends,friends,15182,https://media.rawg.io/media/games/313/3137f0b7fb36b53e34abcde6e7607909.jpg
141,Point & Click,point-click,15004,https://media.rawg.io/media/games/8cd/8cd179c85bd3de8f79bef245b15075fb.jpg
189,Female Protagonist,female-protagonist,14870,https://media.rawg.io/media/games/3cf/3cff89996570cf29a10eb9cd967dcf73.jpg
460,Endless,endless,14740,https://media.rawg.io/media/screenshots/b29/b29caf2306cceb1cdae24ffdfde3f3eb.jpg
30,FPS,fps,14652,https://media.rawg.io/media/games/00d/00d374f12a3ab5f96c500a2cfa901e15.jpg
639,Roguelike,roguelike,14571,https://media.rawg.io/media/games/5f4/5f4780690dbf04900cbac5f05b9305f3.jpg
123,Comedy,comedy,14341,https://media.rawg.io/media/games/2ba/2bac0e87cf45e5b508f227d281c9252a.jpg
115,Controller,controller,14331,https://media.rawg.io/media/games/e9c/e9c042d14515eb3ff7cb4db9fe78e435.jpg
49,Difficult,difficult,14097,https://media.rawg.io/media/games/7a4/7a45e4cdc5b07f316d49cf147b083b27.jpg
149,Third Person,third-person,14091,https://media.rawg.io/media/games/63f/63f0e68688cad279ed38cde931dbfcdb.jpg
72,Local Multiplayer,local-multiplayer,13852,https://media.rawg.io/media/games/bbf/bbf8d74ab64440ad76294cff2f4d9cfa.jpg
18,Co-op,co-op,13808,https://media.rawg.io/media/games/da1/da1b267764d77221f07a4386b6548e5a.jpg
40845,Partial Controller Support,partial-controller-support,13550,https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg
33,VR,vr,12865,https://media.rawg.io/media/games/f86/f869253c68b38fa789f58cc5be2cb996.jpg
1863,challenge,challenge,12767,https://media.rawg.io/media/screenshots/e3a/e3a6291e3bebe2c39da28b4c3e56a045.jpg
56,Shoot 'Em Up,shoot-em-up,12221,https://media.rawg.io/media/games/226/2262cea0b385db6cf399f4be831603b0.jpg
631,Low-poly,low-poly,12081,https://media.rawg.io/media/screenshots/b02/b02c8f7cc53dfa98a35552916c02fe6e.jpg
229,3D Platformer,3d-platformer,11825,https://media.rawg.io/media/screenshots/0fb/0fbd117f2417089f4527eeb05f7dca87.jpg
113,Side Scroller,side-scroller,11577,https://media.rawg.io/media/games/39a/39a8aa7798b685f9625e857bc394259d.jpg
406,Story,story,11520,https://media.rawg.io/media/games/6fd/6fd971ffa72faa1758960d25ef6196bc.jpg
157,PvP,pvp,11484,https://media.rawg.io/media/games/998/9980c4296f311d8bcc5b451ca51e4fe1.jpg
